"ID","WH","Location","Description","Entry_By","Entry_On","ZONE","LOCLEVEL","STLOCATION","SLOC","LOCATIONTYPE","ZONEBARCODE","AISLES","CUSTID","PRIORITYLOCATION","LOCATIONSTATUS","CCSTATUS","AISLESBARCODE","LOCATIONBARCODE"
140,MAA,F114,OK Stock Location,Rajini Nagaiah,2020-05-02,B01000000000000000000002,,,,,B01000000000000000000002,R2-R3,HLL01,,,,A1000000000000000000001,C10000000000000000000012
141,MAA,F115,OK Stock Location,Rajini Nagaiah,2020-05-02,B01000000000000000000002,,,,,B01000000000000000000002,R2-R3,HLL01,,,,A1000000000000000000001,C10000000000000000000013
142,MAA,F116,OK Stock Location,Rajini Nagaiah,2020-05-02,B01000000000000000000002,,,,,B01000000000000000000002,R2-R3,HLL01,,,,A1000000000000000000001,C10000000000000000000014
143,MAA,F117,OK Stock Location,Rajini Nagaiah,2020-05-02,B01000000000000000000002,,,,,B01000000000000000000002,R2-R3,HLL01,,,,A1000000000000000000001,
144,MAA,F118,OK Stock Location,Rajini Nagaiah,2020-05-02,B01000000000000000000002,,,,,B01000000000000000000002,R2-R3,HLL01,,,,A1000000000000000000001,
145,MAA,F119,OK Stock Location,Rajini Nagaiah,2020-05-02,B01000000000000000000002,,,,,B01000000000000000000002,R2-R3,HLL01,,,,A1000000000000000000001,
146,MAA,F120,OK Stock Location,Rajini Nagaiah,2020-05-02,B01000000000000000000002,,,,,B01000000000000000000002,R2-R3,HLL01,,,,A1000000000000000000001,
147,MAA,F121,OK Stock Location,Rajini Nagaiah,2020-05-02,B01000000000000000000002,,,,,B01000000000000000000002,R2-R3,HLL01,,,,A1000000000000000000001,
148,MAA,F122,OK Stock Location,Rajini Nagaiah,2020-05-02,B01000000000000000000002,,,,,B01000000000000000000002,R2-R3,HLL01,,,,A1000000000000000000001,
149,MAA,F123,OK Stock Location,Rajini Nagaiah,2020-05-02,B01000000000000000000002,,,,,B01000000000000000000002,R2-R3,HLL01,,,,A1000000000000000000001,
150,MAA,F124,OK Stock Location,Rajini Nagaiah,2020-05-02,B01000000000000000000002,,,,,B01000000000000000000002,R2-R3,HLL01,,,,A1000000000000000000001,
153,AWLKOL,AB-R5,"",SANJAY MAICK,2020-05-02,,,,,,,,HLL01,,,,,
154,BLR,B,"",Mr.Amit Chaudhari,2020-05-02,,,,,,,,HLL01,,,,,
155,BLR,C,"",Mr.Amit Chaudhari,2020-05-02,,,,,,,,HLL01,,,,,
156,BLR,D,"",Mr.Amit Chaudhari,2020-05-02,,,,,,,,HLL01,,,,,
157,BLR,E,"",Mr.Amit Chaudhari,2020-05-02,,,,,,,,HLL01,,,,,
158,BLR,F,"",Mr.Amit Chaudhari,2020-05-03,,,,,,,,HLL01,,,,,
159,BLR,G,"",Mr.Amit Chaudhari,2020-05-03,,,,,,,,HLL01,,,,,
160,BLR,I,"",Mr.Amit Chaudhari,2020-05-03,,,,,,,,HLL01,,,,,
161,BLR,J,"",Mr.Amit Chaudhari,2020-05-03,,,,,,,,HLL01,,,,,
162,BLR,K,"",Mr.Amit Chaudhari,2020-05-03,,,,,,,,HLL01,,,,,
163,BLR,L,"",Mr.Amit Chaudhari,2020-05-03,,,,,,,,HLL01,,,,,
164,BLR,M,"",Mr.Amit Chaudhari,2020-05-03,,,,,,,,HLL01,,,,,
165,BLR,N,"",Mr.Amit Chaudhari,2020-05-03,,,,,,,,HLL01,,,,,
166,BLR,O,"",Mr.Amit Chaudhari,2020-05-03,,,,,,,,HLL01,,,,,
167,BLR,P,"",Mr.Amit Chaudhari,2020-05-03,,,,,,,,HLL01,,,,,
168,BLR,Q,"",Mr.Amit Chaudhari,2020-05-03,,,,,,,,HLL01,,,,,
169,BLR,R,"",Mr.Amit Chaudhari,2020-05-03,,,,,,,,HLL01,,,,,
170,BLR,S,"",Mr.Amit Chaudhari,2020-05-03,,,,,,,,HLL01,,,,,
171,BLR,T,"",Mr.Amit Chaudhari,2020-05-03,,,,,,,,HLL01,,,,,
172,BLR,U,"",Mr.Amit Chaudhari,2020-05-03,,,,,,,,HLL01,,,,,
173,BLR,V,"",Mr.Amit Chaudhari,2020-05-03,,,,,,,,HLL01,,,,,
174,BLR,W,"",Mr.Amit Chaudhari,2020-05-03,,,,,,,,HLL01,,,,,
175,BLR,X,"",Mr.Amit Chaudhari,2020-05-03,,,,,,,,HLL01,,,,,
176,BLR,Y,"",Mr.Amit Chaudhari,2020-05-03,,,,,,,,HLL01,,,,,
177,BLR,Z,"",Mr.Amit Chaudhari,2020-05-03,,,,,,,,HLL01,,,,,
178,CHD2,R!,"",Mr. Subham Singh,2020-05-03,,,,,,,,HLL01,,,,,
179,CHD2,R2,"",Mr. Subham Singh,2020-05-03,,,,,,,,HLL01,,,,,
180,MAA,F125,OK Stock Location,Rajini Nagaiah,2020-05-03,B01000000000000000000002,,,,,B01000000000000000000002,R2-R3,HLL01,,,,A1000000000000000000001,
181,MAA,F126,OK Stock Location,Rajini Nagaiah,2020-05-03,B01000000000000000000002,,,,,B01000000000000000000002,R2-R3,HLL01,,,,A1000000000000000000001,
182,MAA,F127,OK Stock Location,Rajini Nagaiah,2020-05-03,B01000000000000000000002,,,,,B01000000000000000000002,R2-R3,HLL01,,,,A1000000000000000000001,
183,MAA,F128,OK Stock Location,Rajini Nagaiah,2020-05-03,B01000000000000000000002,,,,,B01000000000000000000002,R2-R3,HLL01,,,,A1000000000000000000001,
184,MAA,F129,OK Stock Location,Rajini Nagaiah,2020-05-03,B01000000000000000000002,,,,,B01000000000000000000002,R2-R3,HLL01,,,,A1000000000000000000001,
185,MAA,F130,OK Stock Location,Rajini Nagaiah,2020-05-03,B01000000000000000000002,,,,,B01000000000000000000002,R2-R3,HLL01,,,,A1000000000000000000001,
186,MAA,F131,OK Stock Location,Rajini Nagaiah,2020-05-03,B01000000000000000000002,,,,,B01000000000000000000002,R2-R3,HLL01,,,,A1000000000000000000001,
